TableID	TableSource	ParamCat	ParamLabel	ParamNameOrigin	ParamNameNew	ParameterNameICU	unit	UID	TableUID	UnitsID	ReasonForChoosingNewName	withinAlertRange	InlierRange	RangeStandard	
1	vitalPeriodic			respiration	respiration	RES_imp (GE_Monitor)	1/min	3	100003			8 - 29	2 - 60	https://www.uab.edu/news/research/item/10393-diastolic-blood-pressure-how-low-is-too-low	
1	vitalPeriodic			sao2	sao2	SpO2_POS  (GE_Monitor)	1/100%	4	100004			91 - 100	80 - 100	NEWS2	90-100
1	vitalPeriodic			systemicdiastolic	systemicdiastolic	Px_Diastolic  (GE_Monitor)	1/100 mmHg	5	100005			60 - 120	20 - 200	https://www.webmd.com/hypertension-high-blood-pressure/guide/diastolic-and-systolic-blood-pressure-know-your-numbers#1-5;	45-90
1	vitalPeriodic			systemicmean	systemicmean	Px_Mean  (GE_Monitor)	1/100 mmHg	6	100006						55-80
1	vitalPeriodic			systemicsystolic	systemicsystolic	Px_Systolic  (GE_Monitor)	1/100 mmHg	7	100007			70 - 200	40 - 300	MEWS	80-130
2	vitalAperiodic			cardiacinput	cardiacinput			1	200001			2.5 - 4	0 - 40	https://www.lidco.com/education/normal-hemodynamic-parameters/	
2	vitalAperiodic			cardiacoutput	cardiacoutput	CCO  (GE_Monitor)	ml/min	2	200002			4 - 8	0 - 80	https://www.lidco.com/education/cardiac-output/	normally look at the CO-index  (3-8)
2	vitalAperiodic			noninvasivediastolic	noninvasivediastolic	NIBP_Diastolic (GE_Monitor)	1/100 mmHg	3	200003			8 - 29	2 - 60	https://www.uab.edu/news/research/item/10393-diastolic-blood-pressure-how-low-is-too-low	same as invasive
2	vitalAperiodic			noninvasivemean	noninvasivemean	NIBP_Mean (GE_Monitor)	1/100 mmHg	4	200004						same as invasive
2	vitalAperiodic			noninvasivesystolic	noninvasivesystolic	NIBP_Systolic (GE_Monitor)	1/100 mmHg	5	200005			60 - 120	20 - 200	https://www.webmd.com/hypertension-high-blood-pressure/guide/diastolic-and-systolic-blood-pressure-know-your-numbers#1-5;	same as invasive
2	vitalAperiodic			pvr	pvr			6	200006			< 250		https://www.lidco.com/education/normal-hemodynamic-parameters/	
2	vitalAperiodic			pvri	pvri			7	200007			255 - 285		https://www.lidco.com/education/normal-hemodynamic-parameters/	
2	vitalAperiodic			svr	svr	SVR (GE_Monitor)	dynes*s/m2	8	200008			800 - 1200		https://www.lidco.com/education/normal-hemodynamic-parameters/	700-
2	vitalAperiodic			svri	svri	SVRI  (GE_Monitor)	dynes*s*m2/cm5)	9	200009			1970 - 2390		https://www.lidco.com/education/normal-hemodynamic-parameters/	
3	intakeOutput			intaketotal	intaketotal			1	300001						
3	intakeOutput			outputtotal	outputtotal			2	300002						
3	intakeOutput			dialysistotal	dialysistotal			3	300003						
3	intakeOutput			nettotal	nettotal			4	300004		This is the intake output net total				
3	intakeOutput			bumetanide	bumetanide			5	300005		diuretic therapy: bumetanide				
3	intakeOutput			bumetanideVolume	bumetanide			5	300005						
3	intakeOutput			Bumetanide-IN	bumetanide			5	300005						
3	intakeOutput			bumetanide(NS)-IN	bumetanide			5	300005						
3	intakeOutput			CL Flush: Non-Tunneled dialysis, Pressure/power in	dialysis			6	300006		?				
3	intakeOutput			dobutamine	dobutamine			7	300007		contractility: dobutamine				
3	intakeOutput			Dobutamine	dobutamine			7	300007						
3	intakeOutput			Volume (ml) Dobutamine	dobutamine			7	300007						
3	intakeOutput			Volume (mL) Dobutamine	dobutamine			7	300007						
3	intakeOutput			DOBUTamine	dobutamine			7	300007						
3	intakeOutput			DOButamine (ml):	dobutamine			7	300007						
3	intakeOutput			DOBUTAMINE	dobutamine			7	300007						
3	intakeOutput			Volume (ml) Dopamine	dopamine			8	300008		contractility: dopamine				
3	intakeOutput			Volume (mL) Dopamine	dopamine			8	300008						
3	intakeOutput			DOPamine	dopamine			8	300008						
3	intakeOutput			DOPamine (ml):	dopamine			8	300008						
3	intakeOutput			DOPAMINE	dopamine			8	300008						
3	intakeOutput			Dopamine	dopamine			8	300008						
3	intakeOutput			dopamine	dopamine			8	300008						
3	intakeOutput			epinephrine	epinephrine			9	300009		contractility: adrenaline/epinephrine				
3	intakeOutput			Volume (ml) Epinephrine	epinephrine			9	300009						
3	intakeOutput			EPINEPHrine	epinephrine			9	300009						
3	intakeOutput			Volume (mL) Epinephrine	epinephrine			9	300009						
3	intakeOutput			Epinephrine	epinephrine			9	300009						
3	intakeOutput			EPInephrine (ml):	epinephrine			9	300009						
3	intakeOutput			Epinephrine (NS)-IN	epinephrine			9	300009						
3	intakeOutput			EPINEPHRINE	epinephrine			9	300009						
3	intakeOutput			Esmolol-IN	esmolol			10	300010		anti-arrhythmic therapy				
3	intakeOutput			Esmolol	esmolol			10	300010						
3	intakeOutput			Volume (ml) Esmolol	esmolol			10	300010						
3	intakeOutput			esmolol	esmolol			10	300010						
3	intakeOutput			ESMOLOL	esmolol			10	300010						
3	intakeOutput			Volume (mL) Esmolol	esmolol			10	300010						
3	intakeOutput			furosemide	furosemide			11	300011		diuretic therapy: furosemide				
3	intakeOutput			Volume (ml) Furosemide	furosemide			11	300011						
3	intakeOutput			Volume (mL) Furosemide	furosemide			11	300011						
3	intakeOutput			Volume (mL)-furosemide (LASIX) 160 mg in dextrose 5 % 50 mL IVPB	furosemide			11	300011						
3	intakeOutput			Volume (mL)-furosemide (LASIX) 120 mg in dextrose 5 % 50 mL IVPB	furosemide			11	300011						
3	intakeOutput			Volume (mL)-furosemide (LASIX) injection 40 mg	furosemide			11	300011						
3	intakeOutput			Hemodialysis Intake (mL)	hemodialysisIntake			12	300012		renal replacement therapy				
3	intakeOutput			HemodialysisOut	hemodialysisOutput			13	300013		renal replacement therapy				
3	intakeOutput			Volume (ml) Lidocaine	lidocaine			14	300014		anti-arrhythmic therapy				
3	intakeOutput			lidocaine	lidocaine			14	300014						
3	intakeOutput			Volume (mL) Lidocaine	lidocaine			14	300014						
3	intakeOutput			Volume (mL)-dextrose 5 % / sodium chloride 0.45% 1,000 mL with potassium chloride 40 mEq, magnesium sulfate 5 g infusion	magnesium			15	300015		anti-arrhythmic therapy				
3	intakeOutput			Volume (ml) Magnesium Sulfate	magnesium			15	300015						
3	intakeOutput			Volume (mL)-magnesium sulfate in 5 % dextrose IVPB 1 g	magnesium			15	300015						
3	intakeOutput			Volume (mL)-magnesium sulfate in dextrose premix 2 g	magnesium			15	300015						
3	intakeOutput			Volume (mL)-magnesium sulfate 1 g in dextrose 5% 100 mL IVPB premix	magnesium			15	300015						
3	intakeOutput			Volume (mL)-magnesium sulfate IVPB 2 g 50 mL	magnesium			15	300015						
3	intakeOutput			Volume (mL)-dextrose 5 % / sodium chloride 0.45% 1,000 mL with magnesium sulfate 5 g infusion	magnesium			15	300015						
3	intakeOutput			Magnesium	magnesium			15	300015						
3	intakeOutput			Volume (mL)-magnesium sulfate in sterile water 2 g IVPB premix	magnesium			15	300015						
3	intakeOutput			Volume (mL)-magnesium sulfate 2 g in sodium chloride 0.9% IVPB	magnesium			15	300015						
3	intakeOutput			magnesium	magnesium			15	300015						
3	intakeOutput			MAGNESIUM	magnesium			15	300015						
3	intakeOutput			Volume (mL)-magnesium sulfate IVPB 4 g 100 mL	magnesium			15	300015						
3	intakeOutput			Volume (mL)-lactated ringers 1,000 mL with thiamine 100 mg, folic acid 1 mg, magnesium sulfate 2 g infusion	magnesium			15	300015						
3	intakeOutput			MAGNESIUM SULFATE	magnesium			15	300015						
3	intakeOutput			Volume (mL) Magnesium	magnesium			15	300015						
3	intakeOutput			milrinone	milrinone			16	300016		contractility: milrinone				
3	intakeOutput			Milrinone	milrinone			16	300016						
3	intakeOutput			Milrinone-IN	milrinone			16	300016						
3	intakeOutput			MILrinone (ml):	milrinone			16	300016						
3	intakeOutput			Volume (mL) Milrinone	milrinone			16	300016						
3	intakeOutput			Volume (ml) Milrinone	milrinone			16	300016						
3	intakeOutput			Urine	urine			17	300017		output from: urine, urinary catheter, urethral catheter	>= 0.5 ml/kg/h		MEWS	
3	intakeOutput			Urinary Catheter Output: Indwelling/Continuous Ure	urine			17	300017						
3	intakeOutput			URINE CATHETER	urine			17	300017						
3	intakeOutput			Urine Count	urine			17	300017						
3	intakeOutput			Urine Occurrence	urine			17	300017						
3	intakeOutput			Urine, void:	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter 16 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Non-latex 14 Fr.	urine			17	300017						
3	intakeOutput			Urine Output (mL)-Urethral Catheter	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Straight-tip 16 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Temperature probe 16 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Non-latex 16 Fr.	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Indwelling/Continuous Ext	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Straight-tip 14 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Latex 16 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urinary Catheter Indwelling	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Indwelling/Continuous Sup	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter 14 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-External Urinary Catheter	urine			17	300017						
3	intakeOutput			SN Urine Output(ml)	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Temperature probe	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Straight/Intermittent Ure	urine			17	300017						
3	intakeOutput			Urine Output (mL)-Urethral Catheter	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Temperature probe 14 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Latex 14 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-External Urethral Device Condom catheter	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Double-lumen 16 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Non-latex	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Double-lumen 14 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Straight-tip	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Coude Urethral	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Urethral	urine			17	300017						
3	intakeOutput			Output Amt-Urinary Catheter	urine			17	300017						
3	intakeOutput			Output Amt-Urinary Catheter	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Natalie,RN Non-latex 14 Fr.	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Coude Urethral 14 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Sarah Burnham, RN and Jordan Perkins, RN Temperature probe 16 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Temperature probe 18 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter James RN Temperature probe	urine			17	300017						
3	intakeOutput			urine count	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Dr Wrenn	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter B Jacobelli, RN Latex;Straight-tip 14 Fr.	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Coude Urethral 16 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Latex	urine			17	300017						
3	intakeOutput			Mixed Urine/Stool Volume	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Temperature probe;Non-latex	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Coude Urethral 18 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter dr macdermid Non-latex;Straight-tip 14 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Coude 18 Fr.	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Condom External	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Double-lumen	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Latex 18 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Non-latex;Straight-tip 14 Fr.	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Indwelling/Continuous Per	urine			17	300017						
3	intakeOutput			Suprapubic Urine Output	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Latex;Straight-tip 14 Fr.	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Urethral 16 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter LF, SN Temperature probe	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Suprapubic	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Nephrostomy L	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Deanna Revis, RN and Rose Cullom, RN Non-latex 14 Fr.	urine			17	300017						
3	intakeOutput			Urine Output (mL)-Urethral Catheter	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Non-latex;Temperature probe 14 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urinary Catheter  Indwelling	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Nephrostomy R	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Temperature probe;Latex 16 Fr.	urine			17	300017						
3	intakeOutput			Urinary Catheter Output: Indwelling/Continuous Nep	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter 18 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter K. Hardy RNFA Latex 16 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Latex;Temperature probe 14 Fr.	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Latex;Straight-tip 16 Fr.	urine			17	300017						
3	intakeOutput			OR urine	urine			17	300017						
3	intakeOutput			incontinent urine	urine			17	300017						
3	intakeOutput			Output (mL)-Urethral Catheter Teal Curry, RN  Straight-tip	urine			17	300017						
3	intakeOutput			Urine Incontinence	urine			17	300017						
3	intakeOutput			urine incontinence	urine			17	300017						
3	intakeOutput			vasopressin	vasopressin			18	300018		afterload: vasopressin				
3	intakeOutput			Vasopressin	vasopressin			18	300018						
3	intakeOutput			Volume (ml) Vasopressin	vasopressin			18	300018						
3	intakeOutput			Volume (mL) Vasopressin	vasopressin			18	300018						
3	intakeOutput			VASOPRESSIN	vasopressin			18	300018						
3	intakeOutput			Vasopressin (NS)-IN	vasopressin			18	300018						
3	intakeOutput			Vasopressin-IN	vasopressin			18	300018						
3	intakeOutput			VASopressin (ml):	vasopressin			18	300018						
4	lab			Base Excess	baseexcess			1	400001		diuretic therapy				
4	lab			calcium	ca			2	400002		electrolytes				
4	lab			ionized calcium	caionized			3	400003		Is this the same as ca ? NEED TO CLARIFY				
4	lab			chloride	cl			4	400004						
4	lab			Carboxyhemoglobin	cohb			5	400005		hbg-related				
4	lab			creatinine	cr			6	400006		diuresis parameter				
4	lab			urinary creatinine	crurine			7	400007						
4	lab			bedside glucose	glc			8	400008		preload				
4	lab			glucose	glc			8	400008						
4	lab			glucose - CSF	glccsf			9	400009						
4	lab			Hgb	hbg			10	400010		preload				
4	lab			bicarbonate	hco3			11	400011						
4	lab			HCO3	hco3			11	400011						
4	lab			potassium	k			12	400012						
4	lab			MCH	mch			13	400013		hbg-related				
4	lab			MCHC	mchc			14	400014		hbg-related				
4	lab			MCV	mcv			15	400015		hbg-related				
4	lab			Methemoglobin	methb			16	400016		hbg-related				
4	lab			magnesium	mg			17	400017						
4	lab			MPV	mpv			18	400018		hbg-related				
4	lab			sodium	na			19	400019						
4	lab			urinary sodium	naurine			20	400020						
4	lab			Oxyhemoglobin	o2hb			21	400021		hbg-related				
4	lab			serum osmolality	osm			22	400022		preload				
4	lab			urinary osmolality	osmurine			23	400023						
4	lab			paCO2	paco2			24	400024		partial pressure CO2				
4	lab			paO2	pao2			25	400025		partial pressure O2				
4	lab			pH	ph			26	400026						
4	lab			platelets x 1000	plt			27	400027						
4	lab			RBC	rbc			28	400028						
4	lab			RDW	rdw			29	400029						
4	lab			O2 Sat (%)	sao2			30	400030						
4	lab			BUN	urea			31	400031		diuresis				
4	lab			24 h urine urea nitrogen	ureaurine			32	400032						
4	lab			WBC x 1000	wbc			33	400033						
5	infusionDrug			Amiodarone (ml/hr)	amiodarone			1	500001	200	anti-arrhythmic drugs				
5	infusionDrug			Amiodarone (mg/min)	amiodarone			1	500001	107					
5	infusionDrug			Amiodarone (maintenance) 900 mg Dextrose 5% 500 ml (mg/min)	amiodarone			1	500001	107					
5	infusionDrug			Amiodarone (mg/hr)	amiodarone			1	500001	105					
5	infusionDrug			Amiodarone (load) 150 mg Dextrose 5% 100 ml (mg/min)	amiodarone			1	500001	107					
5	infusionDrug			amiodarone (mg/min)	amiodarone			1	500001	107					
5	infusionDrug			bumetanide(ml/hr)	bumetanide			2	500002	200	loop diuretic drug				
5	infusionDrug			bumetanide(mg/hr)	bumetanide			2	500002	105					
5	infusionDrug			bumetanide(Bumex) 10 mg Sodium Chloride 0.9% 100 ml (mg/hr)	bumetanide			2	500002	105					
5	infusionDrug			Calcium Gluconate IVF Infused (ml/hr)	ca			3	500003	200	electrolyte				
5	infusionDrug			Calcium (ml/hr)	ca			3	500003	200					
5	infusionDrug			calcium chloride (ml/hr)	ca			3	500003	200					
5	infusionDrug			Dobutamine (ml/hr)	dobutamine			4	500004	200	contractility measures				
5	infusionDrug			Dobutamine (mcg/kg/min)	dobutamine			4	500004	103					
5	infusionDrug			DOBUTamine STD 500 mg Dextrose 5% 250 ml  Premix (mcg/kg/min)	dobutamine			4	500004	103					
5	infusionDrug			DOBUTamine MAX 1000 mg Dextrose 5% 250 ml  Premix (mcg/kg/min)	dobutamine			4	500004	103					
5	infusionDrug			Dobutamine (mcg/kg/hr)	dobutamine			4	500004	102					
5	infusionDrug			Dopamine (ml/hr)	dopamine			5	500005	200	contractility measures: adrenaline				
5	infusionDrug			Dopamine (mcg/kg/min)	dopamine			5	500005	103					
5	infusionDrug			DOPamine STD 400 mg Dextrose 5% 250 ml  Premix (mcg/kg/min)	dopamine			5	500005	103					
5	infusionDrug			DOPamine MAX 800 mg Dextrose 5% 250 ml  Premix (mcg/kg/min)	dopamine			5	500005	103					
5	infusionDrug			Dopamine (mcg/min)	dopamine			5	500005	104					
5	infusionDrug			DOPamine STD 400 mg Dextrose 5% 500 ml  Premix (mcg/kg/min)	dopamine			5	500005	103					
5	infusionDrug			DOPamine STD 15 mg Dextrose 5% 250 ml  Premix (mcg/kg/min)	dopamine			5	500005	103					
5	infusionDrug			Epinephrine (ml/hr)	epinephrine			6	500006	200	contractility measures: adrenaline				
5	infusionDrug			Epinephrine (mcg/min)	epinephrine			6	500006	104					
5	infusionDrug			Epinephrine (mcg/kg/min)	epinephrine			6	500006	103					
5	infusionDrug			EPINEPHrine(Adrenalin)STD 4 mg Sodium Chloride 0.9% 250 ml (mcg/min)	epinephrine			6	500006	104					
5	infusionDrug			EPINEPHrine(Adrenalin)MAX 30 mg Sodium Chloride 0.9% 250 ml (mcg/min)	epinephrine			6	500006	104					
5	infusionDrug			Epinephrine (mg/kg/min)	epinephrine			6	500006	106					
5	infusionDrug			EPINEPHrine(Adrenalin)STD 7 mg Sodium Chloride 0.9% 250 ml (mcg/min)	epinephrine			6	500006	104					
5	infusionDrug			EPINEPHrine(Adrenalin)STD 4 mg Sodium Chloride 0.9% 500 ml (mcg/min)	epinephrine			6	500006	104					
5	infusionDrug			Esmolol (ml/hr)	esmolol			7	500007	200	anti-arrhythmic drugs				
5	infusionDrug			Esmolol (mcg/kg/min)	esmolol			7	500007	103					
5	infusionDrug			Esmolol (Brevibloc) 2500 mg Sodium Chloride 0.9% 250 ml (mcg/kg/min)	esmolol			7	500007	103					
5	infusionDrug			Furosemide (ml/hr)	furosemide			8	500008	200	loop diuretic				
5	infusionDrug			Furosemide (mg/hr)	furosemide			8	500008	105					
5	infusionDrug			Furosemide (Lasix) STD 250 mg Sodium Chloride 0.9% 250 ml (mg/hr)	furosemide			8	500008	105					
5	infusionDrug			Furosemide (Lasix) MAX 500 mg Sodium Chloride 0.9% 100 ml (mg/hr)	furosemide			8	500008	105					
5	infusionDrug			Lidocaine (ml/hr)	lidocaine			9	500009	200	anti-arrhythmic drugs				
5	infusionDrug			Lidocaine (mg/min)	lidocaine			9	500009	107					
5	infusionDrug			Lidocaine (Xylocaine) STD 2 g Dextrose 5% 500 ml  Premix (mg/min)	lidocaine			9	500009	107					
5	infusionDrug			Magnesium Sulfate IVF Infused (ml/hr)	mg			10	500010	200	electrolyte				
5	infusionDrug			Magnesium (mg/hr)	mg			10	500010	105					
5	infusionDrug			magnesium sulfate (mg/hr)	mg			10	500010	105					
5	infusionDrug			Magnesium Sulfate (ml/hr)	mg			10	500010	200					
5	infusionDrug			Volume (mL) Magnesium  (ml/hr)	mg			10	500010	200					
5	infusionDrug			magnesium (ml/hr)	mg			10	500010	200					
5	infusionDrug			Milrinone (ml/hr)	milrinone			11	500011	200	contractility measures				
5	infusionDrug			Milrinone (mcg/kg/min)	milrinone			11	500011	103					
5	infusionDrug			Milrinone (Primacor) 40 mg Dextrose 5% 200 ml (mcg/kg/min)	milrinone			11	500011	103					
5	infusionDrug			Milrinone (mcg/kg/hr)	milrinone			11	500011	102					
5	infusionDrug			0.9% NaCl (ml/hr)	nacl			12	500012	200	electrolyte for Na and Cl ?				
5	infusionDrug			Normal Saline (ml/hr)	nacl			12	500012	200					
5	infusionDrug			Normal Saline 0.9% (ml/hr)	nacl			12	500012	200					
5	infusionDrug			3% Sodium Chloride IVF Infused (ml/hr)	nacl			12	500012	200					
5	infusionDrug			Normal saline (ml/hr)	nacl			12	500012	200					
5	infusionDrug			0.9%NSS (ml/hr)	nacl			12	500012	200					
5	infusionDrug			.9 NSS (ml/hr)	nacl			12	500012	200					
5	infusionDrug			Volume (mL)-sodium chloride 0.9 % bolus 500 mL (ml/hr)	nacl			12	500012	200					
5	infusionDrug			normal saline (ml/hr)	nacl			12	500012	200					
5	infusionDrug			Normal Saline 0.9 (ml/hr)	nacl			12	500012	200					
5	infusionDrug			Volume (mL)-sodium chloride 0.9 % bolus 1,000 mL (ml/hr)	nacl			12	500012	200					
5	infusionDrug			SODIUM CHLORIDE 3% (ml/hr)	nacl			12	500012	200					
5	infusionDrug			0.9% Normal Saline (ml/hr)	nacl			12	500012	200					#isotonic
5	infusionDrug			0.45% Sodium Chloride (ml/hr)	nacl			12	500012	200					#half-iosotonic
5	infusionDrug			3% Saline (ml/hr)	nacl			12	500012	200					#hypertonic
5	infusionDrug			3% NA CL (ml/hr)	nacl			12	500012	200					
5	infusionDrug			0.9 Normal Saline (ml/hr)	nacl			12	500012	200					NACL are used to control fuid in patient eg to regulate together eith diuretic drugs.
5	infusionDrug			3% NACL (ml/hr)	nacl			12	500012	200					
5	infusionDrug			0.9 Sodium Chloride (ml/hr)	nacl			12	500012	200					
5	infusionDrug			Normal saline 0.9% (ml/hr)	nacl			12	500012	200					
5	infusionDrug			3% NaCl (ml/hr)	nacl			12	500012	200					
5	infusionDrug			NaCl 0.9% (ml/hr)	nacl			12	500012	200					
5	infusionDrug			0.45 Normal Saline (ml/hr)	nacl			12	500012	200					
5	infusionDrug			0.9% NSS via venous sheath (ml/hr)	nacl			12	500012	200					
5	infusionDrug			1/2 NSS (ml/hr)	nacl			12	500012	200					
5	infusionDrug			0.9% NaCl (venous sheath) (ml/hr)	nacl			12	500012	200					
5	infusionDrug			0.45NaCl (ml/hr)	nacl			12	500012	200					
5	infusionDrug			normal saline 0.9% (ml/hr)	nacl			12	500012	200					
5	infusionDrug			3% saline (ml/hr)	nacl			12	500012	200					
5	infusionDrug			Normal Saline  (ml/hr)	nacl			12	500012	200					
5	infusionDrug			0.45% Normal Saline (ml/hr)	nacl			12	500012	200					
5	infusionDrug			NaCl 3% (ml/hr)	nacl			12	500012	200					
5	infusionDrug			D5.9 Saline (ml/hr)	nacl			12	500012	200					
5	infusionDrug			3% Nacl (ml/hr)	nacl			12	500012	200					
5	infusionDrug			Sodium Bicarb IVF Infused (ml/hr)	nahco3			13	500013	200	electrolyte for Na ?				
5	infusionDrug			sodium bicarb (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			NaHCO3 (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			Sodium Bicarb (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			D5W w 150mEq NaHCO3 (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			Sodium Bicarb w/ 0.45% NaCl (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			NaHCO3 150mEq/1L 0.45%NaCl (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			Sodium Bicarbonate (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			Na Bicarb (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			D5NaHCO3 (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			0.45 NSS/Sodium Bicarbonate 150meq (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			D5%Na Bicarbonate (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			D/51/2NS w/150NaHCO3 (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			Na HCO3 in 0.45% NS (ml/hr)	nahco3			13	500013	200					
5	infusionDrug			.45NS w/75mEq NaBicarb (ml/hr)	nahco3			13	500013	200					
